0 0 0 0	10
1 0 0 0	10
1 1 0 0	10
1 1 1 0	13
1 1 1 1	18
2 0 0 0	10
2 1 0 0	10
2 1 1 0	13
2 1 1 1	18
2 2 0 0	10
2 2 1 0	13
2 2 1 1	18
2 2 2 0	2
2 2 2 1	13
2 2 2 2	11
3 0 0 0	10
3 1 0 0	10
3 1 1 0	13
3 1 1 1	18
3 2 0 0	10
3 2 1 0	13
3 2 1 1	18
3 2 2 0	3
3 2 2 1	13
3 2 2 2	11
3 3 0 0	6
3 3 1 0	13
3 3 1 1	18
3 3 2 0	3
3 3 2 1	13
3 3 2 2	11
3 3 3 0	4
3 3 3 1	18
3 3 3 2	13
3 3 3 3	19
4 0 0 0	10
4 1 0 0	10
4 1 1 0	13
4 1 1 1	18
4 2 0 0	10
4 2 1 0	13
4 2 1 1	18
4 2 2 0	9
4 2 2 1	13
4 2 2 2	11
4 3 0 0	6
4 3 1 0	13
4 3 1 1	18
4 3 2 0	4
4 3 2 1	13
4 3 2 2	11
4 3 3 0	4
4 3 3 1	18
4 3 3 2	13
4 3 3 3	19
4 4 0 0	4
4 4 1 0	13
4 4 1 1	18
4 4 2 0	4
4 4 2 1	13
4 4 2 2	6
4 4 3 0	6
4 4 3 1	18
4 4 3 2	13
4 4 3 3	19
4 4 4 0	11
4 4 4 1	6
4 4 4 2	4
4 4 4 3	13
4 4 4 4	12
5 0 0 0	16
5 1 0 0	16
5 1 1 0	13
5 1 1 1	18
5 2 0 0	16
5 2 1 0	13
5 2 1 1	18
5 2 2 0	10
5 2 2 1	13
5 2 2 2	11
5 3 0 0	6
5 3 1 0	13
5 3 1 1	18
5 3 2 0	10
5 3 2 1	13
5 3 2 2	11
5 3 3 0	5
5 3 3 1	18
5 3 3 2	13
5 3 3 3	19
5 4 0 0	15
5 4 1 0	13
5 4 1 1	18
5 4 2 0	5
5 4 2 1	13
5 4 2 2	6
5 4 3 0	6
5 4 3 1	18
5 4 3 2	13
5 4 3 3	19
5 4 4 0	11
5 4 4 1	6
5 4 4 2	5
5 4 4 3	13
5 4 4 4	12
5 5 0 0	17
5 5 1 0	13
5 5 1 1	18
5 5 2 0	6
5 5 2 1	13
5 5 2 2	5
5 5 3 0	17
5 5 3 1	6
5 5 3 2	13
